OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Summer_mean	Spring_mean	Winter_mean	Fall_mean	taxonomy
566243	23.306891715	3.48509885551e-05	0.008168478509	0.383918489923	0.0220264317181	0.181286549708	0.0748898678414	0.0243902439024	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
530206	23.1388160561	3.77799292826e-05	0.00867049377036	0.416183700977	0.0	0.0263157894737	0.0220264317181	0.0813008130081	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
4441343	22.9924338936	4.05299271648e-05	0.00911178933975	0.446477677648	0.26872246696	0.0614035087719	0.00881057268722	0.154471544715	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
4306262	22.6645581654	4.74348010917e-05	0.0104508353765	0.522541768827	94.1938325991	110.628654971	165.074889868	92.8211382114	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
1082607	22.5730573726	4.95629035294e-05	0.0107055871624	0.54598494528	0.837004405286	0.456140350877	0.462555066079	0.983739837398	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
4232045	22.4697996734	5.20788897932e-05	0.0110327124993	0.573701049962	14.3215859031	10.7953216374	19.5991189427	14.2926829268	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
250302	22.308129925	5.62761059805e-05	0.0116969355374	0.619937583481	0.0528634361233	0.0146198830409	0.00440528634361	0.0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__
182577	21.9496361541	6.68241774622e-05	0.0135308172044	0.736135138923	0.0616740088106	0.0350877192982	0.154185022026	0.154471544715	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
291149	21.9269049587	6.75558230066e-05	0.0135308172044	0.744194946241	0.149779735683	0.0438596491228	0.0440528634361	0.00813008130081	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
760359	21.6678349167	7.64799484033e-05	0.0150446984216	0.842503111611	0.189427312775	0.0701754385965	0.00881057268722	0.0569105691057	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
4471251	21.600760576	7.89758544983e-05	0.0152259772481	0.869998013154	0.00440528634361	0.0204678362573	0.0969162995595	0.0894308943089	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__
177032	21.5695215895	8.01658206599e-05	0.0152259772481	0.88310668039	0.784140969163	1.5730994152	1.62995594714	0.943089430894	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4438078	21.4794428012	8.36980610578e-05	0.0153743623706	0.922017840613	0.0	0.0	0.0352422907489	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
4401110	21.4784371697	8.37383571383e-05	0.0153743623706	0.922461742235	0.625550660793	0.611111111111	0.938325991189	0.455284552846	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
4154872	21.3308159403	8.98681565861e-05	0.01598251066	0.989987612952	0.0	0.649122807018	0.00440528634361	0.00813008130081	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Cloacibacterium; s__
237991	21.3288577366	8.9952402044e-05	0.01598251066	0.990915660917	0.0	0.0116959064327	0.0	0.0569105691057	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae; g__Dehalobacterium; s__
4439606	21.1624864287	9.74048303434e-05	0.0170319303343	1.0	25.013215859	5.49707602339	0.0969162995595	7.79674796748	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Morganella; s__
932077	21.0173679856	0.00010440545398	0.017833181971	1.0	0.4140969163	0.321637426901	0.224669603524	20.7154471545	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__mucilaginosa
198133	21.0010201307	0.000105224839153	0.017833181971	1.0	1.36123348018	0.973684210526	0.167400881057	0.317073170732	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
175145	20.907741789	0.000110024138108	0.0181338314112	1.0	1.34801762115	0.815789473684	1.49779735683	1.07317073171	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
2829179	20.9026729077	0.000110291095184	0.0181338314112	1.0	2.91189427313	0.716374269006	5.52863436123	2.21951219512	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Acidaminococcus; s__
4483570	20.5613061981	0.000129835946761	0.0210334233753	1.0	0.193832599119	0.134502923977	0.339207048458	0.0813008130081	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
1011712	20.4153957019	0.00013920828386	0.0219521383941	1.0	0.740088105727	0.236842105263	0.0704845814978	0.186991869919	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
979761	20.4111249118	0.000139492527922	0.0219521383941	1.0	0.185022026432	0.0380116959064	0.00881057268722	0.0487804878049	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
4353790	20.1685931501	0.000156619101852	0.0243002257183	1.0	0.118942731278	0.210526315789	0.0748898678414	0.0406504065041	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__
