OTU	Test-Statistic	P	FDR_P	Bonferroni_P	male_mean	female_mean	taxonomy
235065	3.35332080556	0.0670695818825	1.0	1.0	1.09756097561	5.87389380531	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
178478	3.3085277137	0.068921213962	1.0	1.0	63.3512195122	85.5420353982	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
103730	3.29553698238	0.069468390197	1.0	1.0	0.0731707317073	3.17477876106	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
4316151	3.24924740086	0.0714562604932	1.0	1.0	3.15609756098	0.0774336283186	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__
4305923	3.22526703883	0.072509969463	1.0	1.0	4.84634146341	12.2566371681	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
2056702	3.21725304293	0.0728658130258	1.0	1.0	16.8243902439	28.953539823	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4308127	3.2001077206	0.073633420058	1.0	1.0	0.89756097561	5.29424778761	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
4454839	3.18545222262	0.074296437044	1.0	1.0	31.6463414634	18.9557522124	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Enterobacter; s__radicincitans
4454068	3.14580879885	0.0761222526214	1.0	1.0	4.27073170732	11.2411504425	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia; s__
4462432	3.1210405255	0.0772874165834	1.0	1.0	28.5365853659	16.6637168142	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
