OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Rarely (few times/month)_mean	Occasionally (1-2 times/week)_mean	Never_mean	Regularly (3-5 times/week)_mean	Daily_mean	taxonomy
1109850	19.8582625977	0.000532621520764	0.0654728556631	1.0	0.494117647059	0.188775510204	1.41176470588	0.0763358778626	0.0698689956332	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Sulfuritalea; s__
2368865	19.7495163765	0.000559585712528	0.0654728556631	1.0	1.84705882353	5.51020408163	0.352941176471	4.82442748092	7.49344978166	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4399755	19.6684608484	0.000580558597622	0.0654728556631	1.0	0.0235294117647	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
279993	19.6684608484	0.000580558597622	0.0654728556631	1.0	0.0235294117647	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__SC-I-84; f__; g__; s__
4482839	19.6684608484	0.000580558597622	0.0654728556631	1.0	0.0235294117647	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Methylibium; s__petroleiphilum
631107	19.6684608484	0.000580558597622	0.0654728556631	1.0	0.0235294117647	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__
1135231	19.6684608484	0.000580558597622	0.0654728556631	1.0	0.0235294117647	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Xenorhabdus; s__kozodoii
648933	19.6684608484	0.000580558597622	0.0654728556631	1.0	0.0235294117647	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__; s__
557934	19.66843756	0.000580564733829	0.0654728556631	1.0	0.141176470588	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__; s__
511565	19.66843756	0.000580564733829	0.0654728556631	1.0	0.0470588235294	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
4307589	19.66843756	0.000580564733829	0.0654728556631	1.0	0.211764705882	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Alcaligenes; s__faecalis
435928	19.66843756	0.000580564733829	0.0654728556631	1.0	0.0823529411765	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__; s__
160609	19.66843756	0.000580564733829	0.0654728556631	1.0	0.0588235294118	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__; s__
322505	19.6612697665	0.000582456413851	0.0654728556631	1.0	0.517647058824	0.974489795918	0.0	1.54198473282	1.93013100437	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
109792	19.5723304678	0.000606442331735	0.0674804921857	1.0	0.0117647058824	0.00510204081633	0.0	0.0712468193384	0.135371179039	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
1072558	19.4697527361	0.000635322093698	0.0692941404374	1.0	0.0117647058824	0.0	0.0588235294118	0.00254452926209	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__; s__
11427	19.4697527361	0.000635322093698	0.0692941404374	1.0	0.0117647058824	0.0	0.0588235294118	0.00254452926209	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__Blastococcus; s__aggregatus
366752	19.4428357198	0.000643123071537	0.069457291726	1.0	0.0	0.00510204081633	0.0	0.00763358778626	0.0524017467249	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4449898	19.4069119709	0.000653682167628	0.0699122597922	1.0	0.0470588235294	0.0	0.0588235294118	0.00763358778626	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4395995	19.3321663477	0.000676205006628	0.0716257149328	1.0	0.0	0.321428571429	0.117647058824	0.0254452926209	0.0524017467249	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Ramlibacter; s__
744023	19.2406778291	0.000704820084929	0.0739456957675	1.0	0.0117647058824	0.0102040816327	0.117647058824	0.0152671755725	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
229919	19.1574699773	0.000731883554168	0.0760606531388	1.0	7.42352941176	13.5510204082	9.47058823529	16.3816793893	16.0655021834	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4353790	18.7199625855	0.000892012098927	0.0918355633811	1.0	0.2	0.19387755102	0.411764705882	0.0788804071247	0.122270742358	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__
4362257	18.6983920996	0.000900746035704	0.0918760956419	1.0	0.0	0.0	1.58823529412	0.0	0.117903930131	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
1504042	18.240926264	0.00110721911924	0.111900236858	1.0	17.2	18.1989795918	26.7647058824	17.4325699746	11.9519650655	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
95974	18.2001134312	0.00112776703516	0.112430369105	1.0	0.0	0.0	0.0588235294118	0.00508905852417	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4358599	18.1900783206	0.00113287681287	0.112430369105	1.0	38.9176470588	2.85204081633	3.17647058824	11.3740458015	6.79912663755	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
