OTU	Test-Statistic	P	FDR_P	Bonferroni_P	8 or more hours_mean	7-8 hours_mean	6-7 hours_mean	5-6 hours_mean	Less than 5 hours_mean	taxonomy
364538	0.659319418483	0.956249269792	1.0	1.0	0.00769230769231	0.0510948905109	0.00675675675676	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Dysgonomonas; s__
3678349	0.658729855251	0.956319135917	1.0	1.0	0.0153846153846	0.119221411192	0.0506756756757	0.0285714285714	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
302663	0.658524380355	0.956343475847	1.0	1.0	0.0	0.0973236009732	0.0709459459459	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
113978	0.658524380355	0.956343475847	1.0	1.0	0.0	0.029197080292	0.0101351351351	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__
2912622	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Aquitalea; s__
567491	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00729927007299	0.00675675675676	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__barengoltzii
3251419	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
315202	0.658524380355	0.956343475847	1.0	1.0	0.0	0.0121654501217	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4369379	0.658524380355	0.956343475847	1.0	1.0	0.0	0.0340632603406	0.0135135135135	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
296708	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__
129990	0.658524380355	0.956343475847	1.0	1.0	0.0	0.296836982968	0.148648648649	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
158979	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
2529160	0.658524380355	0.956343475847	1.0	1.0	0.0	0.0778588807786	0.00337837837838	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Rikenella; s__
510683	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00973236009732	0.00675675675676	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__
185066	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
169704	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00973236009732	0.00337837837838	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__
688883	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
1110412	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__
191098	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
1145921	0.658524380355	0.956343475847	1.0	1.0	0.0	1.08515815085	0.00337837837838	0.0	0.0	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__
